,summarized_post
0,States that incorporate corporations are not equipped to regulate corporations that are rich enough to influence elections .
1,States that incorporate corporations are not equipped to regulate corporations that are rich enough to influence elections .
2,States that incorporate corporations are not equipped to regulate corporations that are rich enough to influence elections .
3,States that incorporate corporations are not equipped to regulate corporations that are rich enough to influence elections .
4,The word 'natural' needs to be regulated in its use .
5,The word 'natural' needs to be regulated in its use .
6,The word 'natural' needs to be regulated in its use .
7,The word 'natural' needs to be regulated in its use .
8,The word 'natural' needs to be regulated in its use .
9,The word 'natural' needs to be regulated in its use .
10,The word 'natural' needs to be regulated in its use .
11,The word 'natural' needs to be regulated in its use .
12,The word 'natural' needs to be regulated in its use .
13,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
14,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
15,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
16,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
17,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
18,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
19,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
20,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
21,They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again .
22,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
23,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
24,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
25,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
26,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
27,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
28,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
29,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
30,The whole media mess surrounding the royals is a consequence of the promotional fervor with which royal households developed stage-set performances for the public to devour .
31,"Violence in the sex industry only in the same way that criminality is inherent in business in Russia . Prostitution has been illegal in many places, even where it has become legal . As time passes, in large areas where it is fully legal, it will become less violent ."
32,"Violence in the sex industry only in the same way that criminality is inherent in business in Russia . Prostitution has been illegal in many places, even where it has become legal . As time passes, in large areas where it is fully legal, it will become less violent ."
33,"Violence in the sex industry only in the same way that criminality is inherent in business in Russia . Prostitution has been illegal in many places, even where it has become legal . As time passes, in large areas where it is fully legal, it will become less violent ."
34,"Violence in the sex industry only in the same way that criminality is inherent in business in Russia . Prostitution has been illegal in many places, even where it has become legal . As time passes, in large areas where it is fully legal, it will become less violent ."
35,"Violence in the sex industry only in the same way that criminality is inherent in business in Russia . Prostitution has been illegal in many places, even where it has become legal . As time passes, in large areas where it is fully legal, it will become less violent ."
36,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players . He said, I think correctly, that raising that rim would increase that advantage, not decrease it."
37,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players . He said, I think correctly, that raising that rim would increase that advantage, not decrease it."
38,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players . He said, I think correctly, that raising that rim would increase that advantage, not decrease it."
39,"Red Aurebach was asked about raising the rim to neutralize some of the putative advantage held by taller players . He said, I think correctly, that raising that rim would increase that advantage, not decrease it."
40,"This is a horrible idea, says Ruben Navarrette Jr. Affirmative action should be based on economic class, not race ."
41,"This is a horrible idea, says Ruben Navarrette Jr. Affirmative action should be based on economic class, not race ."
42,"This is a horrible idea, says Ruben Navarrette Jr. Affirmative action should be based on economic class, not race ."
43,"This is a horrible idea, says Ruben Navarrette Jr. Affirmative action should be based on economic class, not race ."
44,"This is a horrible idea, says Ruben Navarrette Jr. Affirmative action should be based on economic class, not race ."
45,"This is a horrible idea, says Ruben Navarrette Jr. Affirmative action should be based on economic class, not race ."
46,The government should start by rating K-12 schools . Identify the myriad failing public schools -- how hard should that be?
47,The government should start by rating K-12 schools . Identify the myriad failing public schools -- how hard should that be?
48,The government should start by rating K-12 schools . Identify the myriad failing public schools -- how hard should that be?
49,The government should start by rating K-12 schools . Identify the myriad failing public schools -- how hard should that be?
50,"Over 41% of Canadians use cannabis as a substitute for alcohol, 36.1% for illicit substances, and 67.8% for prescription drugs . The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management'"
51,"Over 41% of Canadians use cannabis as a substitute for alcohol, 36.1% for illicit substances, and 67.8% for prescription drugs . The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management'"
